区域,板块,预售许可证号,项目名称,开发企业,可售套数,已售套数
慈溪市,坎墩街道,2012017,御景苑8号楼,慈溪市宏宇房地产开发有限公司,8,0
慈溪市,坎墩街道,2012017,御景苑7号楼,慈溪市宏宇房地产开发有限公司,8,0
慈溪市,坎墩街道,2012017,御景苑4号楼,慈溪市宏宇房地产开发有限公司,6,0
慈溪市,坎墩街道,2012017,御景苑地下室,慈溪市宏宇房地产开发有限公司,239,5
慈溪市,坎墩街道,2012017,御景苑10号楼,慈溪市宏宇房地产开发有限公司,32,0
慈溪市,坎墩街道,2012017,御景苑9号楼,慈溪市宏宇房地产开发有限公司,32,1
慈溪市,坎墩街道,2012017,御景苑6号楼,慈溪市宏宇房地产开发有限公司,6,0
慈溪市,坎墩街道,2012017,御景苑5号楼,慈溪市宏宇房地产开发有限公司,6,1
慈溪市,坎墩街道,2012017,御景苑3号楼,慈溪市宏宇房地产开发有限公司,6,0
慈溪市,坎墩街道,2012017,御景苑2号楼,慈溪市宏宇房地产开发有限公司,2,0
慈溪市,坎墩街道,2012017,御景苑1号楼,慈溪市宏宇房地产开发有限公司,2,0
慈溪市,龙山镇,2012302,龙湾府小区2号配电房,慈溪龙升维科置业有限公司,0,0
慈溪市,龙山镇,2012302,龙湾府小区1号配电房,慈溪龙升维科置业有限公司,0,0
慈溪市,龙山镇,2012302,龙湾府小区门卫,慈溪龙升维科置业有限公司,0,0
慈溪市,龙山镇,2012302,龙湾府小区地下室,慈溪龙升维科置业有限公司,341,0
慈溪市,龙山镇,2012302,龙湾府小区9号楼,慈溪龙升维科置业有限公司,15,0
慈溪市,龙山镇,2012302,龙湾府小区8号楼,慈溪龙升维科置业有限公司,68,0
慈溪市,龙山镇,2012302,龙湾府小区7号楼,慈溪龙升维科置业有限公司,20,0
慈溪市,龙山镇,2012302,龙湾府小区6号楼,慈溪龙升维科置业有限公司,64,0
慈溪市,龙山镇,2012302,龙湾府小区5号楼,慈溪龙升维科置业有限公司,136,2
慈溪市,龙山镇,2012302,龙湾府小区4号楼,慈溪龙升维科置业有限公司,136,0
慈溪市,龙山镇,2012302,龙湾府小区3号楼,慈溪龙升维科置业有限公司,68,0
慈溪市,龙山镇,2012302,龙湾府小区2号楼,慈溪龙升维科置业有限公司,64,0
慈溪市,龙山镇,2012302,龙湾府小区1号楼,慈溪龙升维科置业有限公司,56,0
慈溪市,宗汉街道,2012015,伊顿花苑5号楼,慈溪市吉恒置业有限公司,0,0
慈溪市,横河镇,2012016,诚园8号楼,慈溪绿城房地产发展有限公司,46,10
慈溪市,宗汉街道,2012015,伊顿花苑4号楼,慈溪市吉恒置业有限公司,42,0
慈溪市,宗汉街道,2012015,伊顿花苑3号楼,慈溪市吉恒置业有限公司,22,0
慈溪市,宗汉街道,2012015,伊顿花苑2号楼,慈溪市吉恒置业有限公司,113,45
慈溪市,宗汉街道,2012015,伊顿花苑1号楼,慈溪市吉恒置业有限公司,117,0
慈溪市,横河镇,2012016,诚园7、14号楼,慈溪绿城房地产发展有限公司,127,4
慈溪市,横河镇,2012016,诚园5号楼,慈溪绿城房地产发展有限公司,135,15
慈溪市,横河镇,2012016,诚园2号楼,慈溪绿城房地产发展有限公司,63,7
慈溪市,横河镇,2012016,诚园1号楼,慈溪绿城房地产发展有限公司,96,10
慈溪市,龙山镇,2012301,香醍漫步花苑41号楼,宁波龙湖置业发展有限公司,9,0
慈溪市,龙山镇,2012301,香醍漫步花苑38号楼,宁波龙湖置业发展有限公司,9,0
慈溪市,龙山镇,2012301,香醍漫步花苑40号楼,宁波龙湖置业发展有限公司,9,0
慈溪市,龙山镇,2012301,香醍漫步花苑39号楼,宁波龙湖置业发展有限公司,8,0
慈溪市,龙山镇,2012301,香醍漫步花苑37号楼,宁波龙湖置业发展有限公司,7,0
慈溪市,龙山镇,2012301,香醍漫步花苑36号楼,宁波龙湖置业发展有限公司,7,0
慈溪市,龙山镇,2012301,香醍漫步花苑35号楼,宁波龙湖置业发展有限公司,5,0
慈溪市,龙山镇,2012301,香醍漫步花苑33号楼,宁波龙湖置业发展有限公司,5,0
慈溪市,龙山镇,2012301,香醍漫步花苑32号楼,宁波龙湖置业发展有限公司,9,0
慈溪市,龙山镇,2012301,香醍漫步花苑31号楼,宁波龙湖置业发展有限公司,9,0
慈溪市,龙山镇,2012301,香醍漫步花苑30号楼,宁波龙湖置业发展有限公司,7,0
慈溪市,龙山镇,2012301,香醍漫步花苑29号楼,宁波龙湖置业发展有限公司,8,0
慈溪市,龙山镇,2012301,香醍漫步花苑28号楼,宁波龙湖置业发展有限公司,5,0
慈溪市,龙山镇,2012301,香醍漫步花苑27号楼,宁波龙湖置业发展有限公司,5,0
慈溪市,龙山镇,2012301,香醍漫步花苑26号楼,宁波龙湖置业发展有限公司,6,0
慈溪市,龙山镇,2012301,香醍漫步花苑25号楼,宁波龙湖置业发展有限公司,6,0
慈溪市,龙山镇,2012301,香醍漫步花苑23号楼,宁波龙湖置业发展有限公司,6,0
慈溪市,龙山镇,2012301,香醍漫步花苑22号楼,宁波龙湖置业发展有限公司,9,0
慈溪市,龙山镇,2012301,香醍漫步花苑21号楼,宁波龙湖置业发展有限公司,7,0
慈溪市,龙山镇,2012301,香醍漫步花苑20号楼,宁波龙湖置业发展有限公司,8,0
慈溪市,龙山镇,2012301,香醍漫步花苑19号楼,宁波龙湖置业发展有限公司,8,0
慈溪市,龙山镇,2012301,香醍漫步花苑18号楼,宁波龙湖置业发展有限公司,5,1
慈溪市,龙山镇,2012301,香醍漫步花苑17号楼,宁波龙湖置业发展有限公司,5,0
慈溪市,龙山镇,2012301,香醍漫步花苑16号楼,宁波龙湖置业发展有限公司,6,0
慈溪市,龙山镇,2012301,香醍漫步花苑15号楼,宁波龙湖置业发展有限公司,5,1
慈溪市,龙山镇,2012301,香醍漫步花苑12号楼,宁波龙湖置业发展有限公司,7,3
慈溪市,龙山镇,2012301,香醍漫步花苑11号楼,宁波龙湖置业发展有限公司,7,1
慈溪市,龙山镇,2012301,香醍漫步花苑10号楼,宁波龙湖置业发展有限公司,16,0
慈溪市,龙山镇,2012301,香醍漫步花苑9号楼,宁波龙湖置业发展有限公司,7,1
慈溪市,龙山镇,2012301,香醍漫步花苑8号楼,宁波龙湖置业发展有限公司,6,3
慈溪市,龙山镇,2012301,香醍漫步花苑7号楼,宁波龙湖置业发展有限公司,5,0
慈溪市,龙山镇,2012301,香醍漫步花苑6号楼,宁波龙湖置业发展有限公司,6,1
慈溪市,宗汉街道,2012014,天悦湾花苑6号楼,慈溪保利建锦房地产开发有限公司,0,0
慈溪市,宗汉街道,2012014,天悦湾花苑地下室,慈溪保利建锦房地产开发有限公司,876,0
慈溪市,宗汉街道,2012014,天悦湾花苑12号楼,慈溪保利建锦房地产开发有限公司,123,0
慈溪市,宗汉街道,2012014,天悦湾花苑11号楼,慈溪保利建锦房地产开发有限公司,62,0
慈溪市,宗汉街道,2012014,天悦湾花苑10号楼,慈溪保利建锦房地产开发有限公司,62,27
慈溪市,宗汉街道,2012014,天悦湾花苑9号楼,慈溪保利建锦房地产开发有限公司,44,0
慈溪市,宗汉街道,2012014,天悦湾花苑8号楼,慈溪保利建锦房地产开发有限公司,42,0
慈溪市,宗汉街道,2012014,天悦湾花苑7号楼,慈溪保利建锦房地产开发有限公司,54,53
慈溪市,宗汉街道,2012014,天悦湾花苑5号楼,慈溪保利建锦房地产开发有限公司,54,0
慈溪市,长河镇,2012013,美郡花苑地下室,宁波飞翔房地产开发有限公司,226,5
慈溪市,长河镇,2012013,美郡花苑14号楼,宁波飞翔房地产开发有限公司,61,3
慈溪市,长河镇,2012013,美郡花苑13号楼,宁波飞翔房地产开发有限公司,8,0
慈溪市,长河镇,2012013,美郡花苑12号楼,宁波飞翔房地产开发有限公司,8,1
慈溪市,长河镇,2012013,美郡花苑11号楼,宁波飞翔房地产开发有限公司,8,0
慈溪市,长河镇,2012013,美郡花苑10号楼,宁波飞翔房地产开发有限公司,8,0
慈溪市,长河镇,2012013,美郡花苑9号楼,宁波飞翔房地产开发有限公司,8,0
慈溪市,长河镇,2012013,美郡花苑8号楼,宁波飞翔房地产开发有限公司,8,0
慈溪市,长河镇,2012013,美郡花苑7号楼,宁波飞翔房地产开发有限公司,4,0
慈溪市,长河镇,2012013,美郡花苑6号楼,宁波飞翔房地产开发有限公司,4,0
慈溪市,长河镇,2012013,美郡花苑5号楼,宁波飞翔房地产开发有限公司,4,0
慈溪市,长河镇,2012013,美郡花苑4号楼,宁波飞翔房地产开发有限公司,4,0
慈溪市,长河镇,2012013,美郡花苑3号楼,宁波飞翔房地产开发有限公司,4,0
慈溪市,长河镇,2012013,美郡花苑2号楼,宁波飞翔房地产开发有限公司,4,0
慈溪市,长河镇,2012013,美郡花苑1号楼,宁波飞翔房地产开发有限公司,4,0
慈溪市,观海卫镇,2012202,嘉润名都地下室,宁波市嘉润置业有限公司,274,0
慈溪市,观海卫镇,2012202,嘉润名都9号楼,宁波市嘉润置业有限公司,21,1
慈溪市,观海卫镇,2012202,嘉润名都8号楼,宁波市嘉润置业有限公司,19,1
慈溪市,观海卫镇,2012202,嘉润名都7号楼,宁波市嘉润置业有限公司,21,2
慈溪市,观海卫镇,2012202,嘉润名都6号楼,宁波市嘉润置业有限公司,21,16
慈溪市,观海卫镇,2012202,嘉润名都5号楼,宁波市嘉润置业有限公司,30,12
慈溪市,观海卫镇,2012202,嘉润名都4号楼,宁波市嘉润置业有限公司,20,7
慈溪市,观海卫镇,2012202,嘉润名都3号楼,宁波市嘉润置业有限公司,20,0
慈溪市,观海卫镇,2012202,嘉润名都2号楼,宁波市嘉润置业有限公司,20,12
慈溪市,观海卫镇,2012202,嘉润名都1号楼,宁波市嘉润置业有限公司,33,7
慈溪市,匡堰镇,2012012,风情苑门卫、消防,慈溪市茂田房地产开发有限公司,0,0
慈溪市,匡堰镇,2012012,风情苑地下室,慈溪市茂田房地产开发有限公司,180,103
慈溪市,匡堰镇,2012012,风情苑4号楼,慈溪市茂田房地产开发有限公司,14,0
慈溪市,匡堰镇,2012012,风情苑3号楼,慈溪市茂田房地产开发有限公司,42,31
慈溪市,匡堰镇,2012012,风情苑2号楼,慈溪市茂田房地产开发有限公司,51,28
慈溪市,匡堰镇,2012012,风情苑1号楼,慈溪市茂田房地产开发有限公司,56,25
慈溪市,观海卫镇,2012201,如意花苑配电房,浙江顺凯置业有限公司,0,0
慈溪市,观海卫镇,2012201,如意花苑地下室,浙江顺凯置业有限公司,363,0
慈溪市,观海卫镇,2012201,如意花苑9号楼,浙江顺凯置业有限公司,54,0
慈溪市,观海卫镇,2012201,如意花苑8号楼,浙江顺凯置业有限公司,52,0
慈溪市,观海卫镇,2012201,如意花苑7号楼,浙江顺凯置业有限公司,52,0
慈溪市,观海卫镇,2012201,如意花苑6号楼,浙江顺凯置业有限公司,36,0
慈溪市,观海卫镇,2012201,如意花苑4号楼,浙江顺凯置业有限公司,30,6
慈溪市,观海卫镇,2012201,如意花苑3号、5号楼,浙江顺凯置业有限公司,66,5
慈溪市,观海卫镇,2012201,如意花苑2号楼,浙江顺凯置业有限公司,32,8
慈溪市,观海卫镇,2012201,如意花苑1号楼,浙江顺凯置业有限公司,82,0
慈溪市,崇寿镇,2012011,星海湾家园3号专变,宁波宝诚置业有限公司,0,0
慈溪市,崇寿镇,2012011,星海湾家园1号专变2号环网站,宁波宝诚置业有限公司,0,0
慈溪市,崇寿镇,2012011,星海湾家园1号公变,宁波宝诚置业有限公司,0,0
慈溪市,崇寿镇,2012011,星海湾家园2号门卫,宁波宝诚置业有限公司,0,0
慈溪市,崇寿镇,2012011,星海湾家园1号门卫,宁波宝诚置业有限公司,0,0
慈溪市,崇寿镇,2012011,星海湾家园北地块地下室,宁波宝诚置业有限公司,551,104
慈溪市,崇寿镇,2012011,星海湾家园南地块地下室,宁波宝诚置业有限公司,1292,0
慈溪市,崇寿镇,2012011,星海湾家园22号楼,宁波宝诚置业有限公司,46,4
慈溪市,崇寿镇,2012011,星海湾家园21号楼,宁波宝诚置业有限公司,30,0
慈溪市,崇寿镇,2012011,星海湾家园20号楼,宁波宝诚置业有限公司,30,0
慈溪市,崇寿镇,2012011,星海湾家园19号楼,宁波宝诚置业有限公司,46,0
慈溪市,崇寿镇,2012011,星海湾家园18号楼,宁波宝诚置业有限公司,52,11
慈溪市,崇寿镇,2012011,星海湾家园17号楼,宁波宝诚置业有限公司,20,0
慈溪市,崇寿镇,2012011,星海湾家园16号楼,宁波宝诚置业有限公司,20,0
慈溪市,崇寿镇,2012011,星海湾家园15号楼,宁波宝诚置业有限公司,42,0
慈溪市,崇寿镇,2012011,星海湾家园13号楼,宁波宝诚置业有限公司,61,0
慈溪市,崇寿镇,2012011,星海湾家园14号楼,宁波宝诚置业有限公司,74,14
慈溪市,崇寿镇,2012011,星海湾家园12号楼,宁波宝诚置业有限公司,52,11
慈溪市,崇寿镇,2012011,星海湾家园11号楼,宁波宝诚置业有限公司,21,0
慈溪市,崇寿镇,2012011,星海湾家园10号楼,宁波宝诚置业有限公司,21,0
慈溪市,崇寿镇,2012011,星海湾家园9号楼,宁波宝诚置业有限公司,42,0
慈溪市,崇寿镇,2012011,星海湾家园8号楼,宁波宝诚置业有限公司,111,10
慈溪市,崇寿镇,2012011,星海湾家园7号楼,宁波宝诚置业有限公司,28,0
慈溪市,崇寿镇,2012011,星海湾家园6号楼,宁波宝诚置业有限公司,28,0
慈溪市,崇寿镇,2012011,星海湾家园5号楼,宁波宝诚置业有限公司,85,0
慈溪市,崇寿镇,2012011,星海湾家园4号楼,宁波宝诚置业有限公司,67,9
慈溪市,崇寿镇,2012011,星海湾家园3号楼,宁波宝诚置业有限公司,116,3
慈溪市,崇寿镇,2012011,星海湾家园1、2号楼,宁波宝诚置业有限公司,205,42
慈溪市,长河镇,2012008,纯丰家园3号楼,慈溪市纯生置业有限公司,17,2
慈溪市,长河镇,2012008,纯丰家园2号楼,慈溪市纯生置业有限公司,26,4
慈溪市,长河镇,2012008,纯丰家园1号楼,慈溪市纯生置业有限公司,17,2
慈溪市,宗汉街道,2012010,君悦湾花苑7号楼,慈溪保利建锦房地产开发有限公司,93,93
慈溪市,宗汉街道,2012010,君悦湾花苑地下室,慈溪保利建锦房地产开发有限公司,420,0
慈溪市,宗汉街道,2012010,君悦湾花苑6号楼,慈溪保利建锦房地产开发有限公司,64,64
慈溪市,宗汉街道,2012010,君悦湾花苑5号楼,慈溪保利建锦房地产开发有限公司,64,64
慈溪市,宗汉街道,2012010,君悦湾花苑3号楼,慈溪保利建锦房地产开发有限公司,64,64
慈溪市,宗汉街道,2012010,君悦湾花苑2号楼,慈溪保利建锦房地产开发有限公司,62,62
慈溪市,宗汉街道,2012010,君悦湾花苑1号楼,慈溪保利建锦房地产开发有限公司,92,92
慈溪市,宗汉街道,2012009,双只ㄔ3号地下室,慈溪金轮梵石房地产有限公司,397,66
慈溪市,宗汉街道,2012009,双只ㄔ22号楼,慈溪金轮梵石房地产有限公司,64,22
慈溪市,宗汉街道,2012009,双只ㄔ21号楼,慈溪金轮梵石房地产有限公司,60,0
慈溪市,宗汉街道,2012009,双只ㄔ20号楼,慈溪金轮梵石房地产有限公司,3,0
慈溪市,宗汉街道,2012009,双只ㄔ19号楼,慈溪金轮梵石房地产有限公司,60,32
慈溪市,宗汉街道,2012009,双只ㄔ18号楼,慈溪金轮梵石房地产有限公司,94,56
慈溪市,宗汉街道,2012007,君悦湾花苑36号楼,慈溪保利建锦房地产开发有限公司,4,2
慈溪市,宗汉街道,2012007,君悦湾花苑35号楼,慈溪保利建锦房地产开发有限公司,3,2
慈溪市,宗汉街道,2012007,君悦湾花苑33号楼,慈溪保利建锦房地产开发有限公司,4,2
慈溪市,宗汉街道,2012007,君悦湾花苑32号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑31号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑30号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑29号楼,慈溪保利建锦房地产开发有限公司,4,0
慈溪市,宗汉街道,2012007,君悦湾花苑28号楼,慈溪保利建锦房地产开发有限公司,3,0
慈溪市,宗汉街道,2012007,君悦湾花苑27号楼,慈溪保利建锦房地产开发有限公司,4,0
慈溪市,宗汉街道,2012007,君悦湾花苑26号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑25号楼,慈溪保利建锦房地产开发有限公司,4,3
慈溪市,宗汉街道,2012007,君悦湾花苑23号楼,慈溪保利建锦房地产开发有限公司,3,0
慈溪市,宗汉街道,2012007,君悦湾花苑22号楼,慈溪保利建锦房地产开发有限公司,4,3
慈溪市,宗汉街道,2012007,君悦湾花苑21号楼,慈溪保利建锦房地产开发有限公司,3,3
慈溪市,宗汉街道,2012007,君悦湾花苑20号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑19号楼,慈溪保利建锦房地产开发有限公司,3,3
慈溪市,宗汉街道,2012007,君悦湾花苑18号楼,慈溪保利建锦房地产开发有限公司,4,0
慈溪市,宗汉街道,2012007,君悦湾花苑17号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑16号楼,慈溪保利建锦房地产开发有限公司,3,3
慈溪市,宗汉街道,2012007,君悦湾花苑15号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑13号楼,慈溪保利建锦房地产开发有限公司,3,3
慈溪市,宗汉街道,2012007,君悦湾花苑12号楼,慈溪保利建锦房地产开发有限公司,4,0
慈溪市,宗汉街道,2012007,君悦湾花苑11号楼,慈溪保利建锦房地产开发有限公司,5,5
慈溪市,宗汉街道,2012007,君悦湾花苑10号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑9号楼,慈溪保利建锦房地产开发有限公司,4,4
慈溪市,宗汉街道,2012007,君悦湾花苑8号楼,慈溪保利建锦房地产开发有限公司,5,4
慈溪市,白沙路街道,2011004,慈溪财富中心、、销售单元调整,慈溪市工业品批发市场经营服务有限公司,310,0
慈溪市,坎墩街道,2012006,鸿悦花苑8号楼,慈溪金启房地产开发有限公司,50,2
慈溪市,坎墩街道,2012006,鸿悦花苑7号楼,慈溪金启房地产开发有限公司,50,0
慈溪市,坎墩街道,2012006,鸿悦花苑6号楼,慈溪金启房地产开发有限公司,124,0
慈溪市,坎墩街道,2012006,鸿悦花苑5号楼,慈溪金启房地产开发有限公司,124,0
慈溪市,坎墩街道,2012006,鸿悦花苑4号楼,慈溪金启房地产开发有限公司,120,0
慈溪市,坎墩街道,2012006,鸿悦花苑3号楼,慈溪金启房地产开发有限公司,113,73
慈溪市,浒山街道,2012005,泰悦公寓（地下部分）,慈溪银泰置业有限公司,99,0
慈溪市,浒山街道,2012005,泰悦公寓（地上部分）,慈溪银泰置业有限公司,506,23
慈溪市,宗汉街道,2012004,伊顿花苑门卫,慈溪市吉恒置业有限公司,0,0
慈溪市,宗汉街道,2012004,伊顿花苑地下室,慈溪市吉恒置业有限公司,462,102
慈溪市,宗汉街道,2012004,伊顿花苑29号楼,慈溪市吉恒置业有限公司,0,0
慈溪市,宗汉街道,2012004,伊顿花苑28号楼,慈溪市吉恒置业有限公司,0,0
慈溪市,宗汉街道,2012004,伊顿花苑27号楼,慈溪市吉恒置业有限公司,3,0
慈溪市,宗汉街道,2012004,伊顿花苑26号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑25号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑24号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑23号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑22号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑21号楼,慈溪市吉恒置业有限公司,5,2
慈溪市,宗汉街道,2012004,伊顿花苑20号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑19号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑18号楼,慈溪市吉恒置业有限公司,5,4
慈溪市,宗汉街道,2012004,伊顿花苑17号楼,慈溪市吉恒置业有限公司,5,2
慈溪市,宗汉街道,2012004,伊顿花苑16号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑15号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑14号楼,慈溪市吉恒置业有限公司,5,2
慈溪市,宗汉街道,2012004,伊顿花苑13号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑12号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑11号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑10号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑9号楼,慈溪市吉恒置业有限公司,4,3
慈溪市,宗汉街道,2012004,伊顿花苑8号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑7号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑6号楼,慈溪市吉恒置业有限公司,4,3
慈溪市,宗汉街道,2012003,双只ㄔ2号地下室,慈溪金轮梵石房地产有限公司,538,207
慈溪市,宗汉街道,2012003,双只ㄔ27号楼,慈溪金轮梵石房地产有限公司,60,50
慈溪市,宗汉街道,2012003,双只ㄔ26号楼,慈溪金轮梵石房地产有限公司,60,35
慈溪市,宗汉街道,2012003,双只ㄔ25号楼,慈溪金轮梵石房地产有限公司,60,53
慈溪市,宗汉街道,2012003,双只ㄔ23号楼,慈溪金轮梵石房地产有限公司,60,52
慈溪市,古塘街道,2012001、2012002,慈溪智慧谷科技广场地下室,慈溪浙大网新创新园开发有限公司,158,31
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场22号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场21号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场20号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场19号楼,慈溪浙大网新创新园开发有限公司,2,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场18号楼,慈溪浙大网新创新园开发有限公司,2,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场17号楼,慈溪浙大网新创新园开发有限公司,2,2
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场16号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场15号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场14号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场13号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场12号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场11号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,,2012001,慈溪智慧谷科技广场10号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场9号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场8号楼,慈溪浙大网新创新园开发有限公司,34,3
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场7号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,,2012001,慈溪智慧谷科技广场6号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场5号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场4号楼,慈溪浙大网新创新园开发有限公司,2,2
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场3号楼,慈溪浙大网新创新园开发有限公司,5,5
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场2号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场1号楼,慈溪浙大网新创新园开发有限公司,115,14
慈溪市,长河镇,2011023,凯盛家苑配电房,慈溪中骏房地产开发有限公司,0,0
慈溪市,长河镇,2011023,凯盛家苑8号楼,慈溪中骏房地产开发有限公司,60,60
